Asteroid ID,Asteroid Name,Min Estimated Diameter (km),Absolute Magnitude,Relative Velocity (km/s)
3702966,(2014 YT9),0.2025606009,20.59,32.2897570914
3836888,(2018 XY3),0.3023813326,19.72,24.6012577314
3837863,(2019 AU11),0.0286124454,24.84,15.3440996922
3892271,(2019 VT),0.0334622374,24.5,34.6242446232
54231776,(2021 YQ),0.046190746,23.8,14.6997355918
54232323,(2021 YX),0.0255008688,25.09,11.9163564961
54235535,(2022 AD2),0.0825191939,22.54,24.5782843345
54235667,(2022 AS2),0.0043107712,28.95,2.7820922481
54239842,(2022 BL1),0.0177237239,25.88,7.2656926405
54243529,(2022 AV13),0.0011496218,31.82,7.532046341
54278443,(2022 JV1),0.0083282735,27.52,5.7104536932
54416849,(2023 XN13),0.0062023315,28.16,15.4673666385
2017511,17511 (1992 QN),0.9131770255,17.32,18.9162660889
3170204,(2003 YS17),0.1272198785,21.6,18.7190203137
3310464,(2006 AN),0.0356906927,24.36,4.6468802954
3403506,(2008 DJ),0.1997813652,20.62,11.5390104936
3441843,(2008 YK2),0.3346223745,19.5,15.1029328796
3555163,(2011 AR26),0.233644185,20.28,13.592238999
3621814,(2012 YL7),0.0752583992,22.74,11.0655614218
3701710,(2014 WF497),0.2272767323,20.34,14.5446943187
3703059,(2014 YE15),0.0058150704,28.3,6.3796776658
3786458,(2017 UG),0.008405334,27.5,10.2843834093
3827322,(2018 RF2),0.0060891262,28.2,11.8261271456
3837917,(2019 AM13),0.1034081995,22.05,25.5842939912
3971138,(2020 AL),0.0292789148,24.79,2.5482288632
54103879,(2021 AA),0.0106795998,26.98,25.856041987
54235433,(2022 AM),0.0061454682,28.18,10.5844422494
54235470,(2022 AB1),0.005377185,28.47,5.954979752
54235663,(2022 AO2),0.0385971268,24.19,16.7158204991
54236443,(2022 AY4),0.0030517923,29.7,17.2116654145
54236579,(2022 AR5),0.0115492818,26.81,11.3767202424
54279837,(2022 KR),0.0107784169,26.96,2.8364791915
54392937,(2023 TA8),0.135692229,21.46,17.6648149407
2363505,363505 (2003 UC20),0.5377184977,18.47,12.5185405793
2376848,376848 (2001 RY47),0.3180936332,19.61,17.7010157767
2488490,488490 (2000 AF205),0.1108038821,21.9,21.0773993912
3388081,(2007 TL23),0.1344481952,21.48,31.1009737119
3592308,(2012 AP10),0.0133215567,26.5,15.9959341425
3744561,(2016 CN248),0.0092162655,27.3,10.6983078965
3771592,(2017 DA120),0.3180936332,19.61,18.5787910301
3775153,(2017 KU34),0.0506471459,23.6,10.1460898649
3795123,(2017 YK7),0.0325502986,24.56,21.9952907107
3825582,(2018 NQ1),0.0253837029,25.1,7.8010080242
3836179,(2018 VB7),0.0253837029,25.1,9.5348428923
3843224,(2019 NP5),0.0080270317,27.6,14.8443144973
3905993,(2019 XK1),0.0167708462,26.0,9.8249062445
54172000,(2021 OS),0.1038855101,22.04,19.16379453
54231779,(2021 YT),0.0756057762,22.73,4.3927749248
54235477,(2022 AJ1),0.0071212294,27.86,11.160213972
54235478,(2022 AK1),0.0888290416,22.38,26.6612605759
54235537,(2022 AF2),0.0309424699,24.67,11.5954230551
54235681,(2022 AM3),0.0128989683,26.57,6.8844302964
54248460,(2022 DE2),0.3240074354,19.57,18.5807868886
54336908,(2022 YL5),0.0385971268,24.19,12.271204847
54336956,(2022 YV5),0.0234722638,25.27,16.023922827
54337026,(2022 YK6),0.0356906927,24.36,10.1315946688
3625335,(2013 BC70),0.040230458,24.1,10.1548261794
3753290,(2016 JT28),0.0483676488,23.7,13.5100245697
3756934,(2016 PC2),0.0667659413,23.0,20.4077209528
3826839,(2018 PR23),0.022108281,25.4,8.4332699552
54053824,(2020 RG2),0.0101054342,27.1,14.9839822861
54143421,(2021 JG1),0.0296862251,24.76,9.0784070708
54171310,(2021 NT8),0.3108529381,19.66,27.0235089534
54203032,(2021 TK3),0.2597496533,20.05,7.790798039
54231688,(2021 YK),0.0090064777,27.35,7.0444404315
54235436,(2022 AQ),0.010388551,27.04,11.4430529094
54235525,(2022 AP1),0.0055789822,28.39,10.640214595
54235670,(2022 AV2),0.0290104841,24.81,11.4458122646
54240279,(2022 BF2),0.0661538275,23.02,13.6716305429
54374712,(2023 NC),0.0477040198,23.73,12.9390279932
54469019,(2024 RT5),0.0437074004,23.92,16.2228330993
